"BehaviorSpace results (NetLogo 6.1.0)"
"diffusion-model-7.nlogo"
"social-influence-experiment"
"08/04/2019 23:24:04:269 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network-density","num-agents","network-type","social-influence","broadcast-influence","fraction-influencers","influencers-weight","[step]","count turtles with [ adopted > 0 ]","count turtles with [ adopted = 1 ]","count influencers with [ adopted > 0 ]","count influencers with [ adopted = 1 ]","count followers with [ adopted > 0 ]","count followers with [ adopted = 1 ]"
"1","0.1","300","random","0","10","0.1","0.7","0","0","0","0","0","0","0"
"7","0.1","300","random","0","10","0.1","0.7","0","0","0","0","0","0","0"
"6","0.1","300","random","0","10","0.1","0.7","0","0","0","0","0","0","0"
"8","0.1","300","random","0","10","0.1","0.7","0","0","0","0","0","0","0"
"4","0.1","300","random","0","10","0.1","0.7","0","0","0","0","0","0","0"
"5","0.1","300","random","0","10","0.1","0.7","0","0","0","0","0","0","0"
"3","0.1","300","random","0","10","0.1","0.7","0","0","0","0","0","0","0"
"2","0.1","300","random","0","10","0.1","0.7","0","0","0","0","0","0","0"
"1","0.1","300","random","0","10","0.1","0.7","1","37","0","1","0","36","0"
"8","0.1","300","random","0","10","0.1","0.7","1","24","0","1","0","23","0"
"7","0.1","300","random","0","10","0.1","0.7","1","24","0","1","0","23","0"
"3","0.1","300","random","0","10","0.1","0.7","1","33","0","6","0","27","0"
"5","0.1","300","random","0","10","0.1","0.7","1","33","0","6","0","27","0"
"4","0.1","300","random","0","10","0.1","0.7","1","33","0","3","0","30","0"
"6","0.1","300","random","0","10","0.1","0.7","1","28","0","1","0","27","0"
"1","0.1","300","random","0","10","0.1","0.7","2","55","0","2","0","53","0"
"8","0.1","300","random","0","10","0.1","0.7","2","52","0","2","0","50","0"
"1","0.1","300","random","0","10","0.1","0.7","3","82","0","4","0","78","0"
"4","0.1","300","random","0","10","0.1","0.7","2","57","0","5","0","52","0"
"3","0.1","300","random","0","10","0.1","0.7","2","60","0","7","0","53","0"
"6","0.1","300","random","0","10","0.1","0.7","2","56","0","2","0","54","0"
"2","0.1","300","random","0","10","0.1","0.7","1","27","0","2","0","25","0"
"1","0.1","300","random","0","10","0.1","0.7","4","105","0","5","0","100","0"
"7","0.1","300","random","0","10","0.1","0.7","2","52","0","5","0","47","0"
"8","0.1","300","random","0","10","0.1","0.7","3","86","0","5","0","81","0"
"5","0.1","300","random","0","10","0.1","0.7","2","61","0","9","0","52","0"
"6","0.1","300","random","0","10","0.1","0.7","3","79","0","6","0","73","0"
"2","0.1","300","random","0","10","0.1","0.7","2","49","0","4","0","45","0"
"3","0.1","300","random","0","10","0.1","0.7","3","94","0","8","0","86","0"
"4","0.1","300","random","0","10","0.1","0.7","3","78","0","9","0","69","0"
"7","0.1","300","random","0","10","0.1","0.7","3","69","0","7","0","62","0"
"1","0.1","300","random","0","10","0.1","0.7","5","123","0","8","0","115","0"
"4","0.1","300","random","0","10","0.1","0.7","4","107","0","11","0","96","0"
"3","0.1","300","random","0","10","0.1","0.7","4","122","0","11","0","111","0"
"6","0.1","300","random","0","10","0.1","0.7","4","101","0","11","0","90","0"
"5","0.1","300","random","0","10","0.1","0.7","3","82","0","10","0","72","0"
"8","0.1","300","random","0","10","0.1","0.7","4","100","0","6","0","94","0"
"4","0.1","300","random","0","10","0.1","0.7","5","121","0","13","0","108","0"
"3","0.1","300","random","0","10","0.1","0.7","5","142","0","13","0","129","0"
"6","0.1","300","random","0","10","0.1","0.7","5","122","0","13","0","109","0"
"2","0.1","300","random","0","10","0.1","0.7","3","62","0","7","0","55","0"
"1","0.1","300","random","0","10","0.1","0.7","6","143","0","9","0","134","0"
"5","0.1","300","random","0","10","0.1","0.7","4","107","0","14","0","93","0"
"8","0.1","300","random","0","10","0.1","0.7","5","118","0","8","0","110","0"
"4","0.1","300","random","0","10","0.1","0.7","6","140","0","16","0","124","0"
"3","0.1","300","random","0","10","0.1","0.7","6","163","0","15","0","148","0"
"6","0.1","300","random","0","10","0.1","0.7","6","142","0","16","0","126","0"
"1","0.1","300","random","0","10","0.1","0.7","7","162","0","13","0","149","0"
"2","0.1","300","random","0","10","0.1","0.7","4","82","0","11","0","71","0"
"4","0.1","300","random","0","10","0.1","0.7","7","154","0","16","0","138","0"
"8","0.1","300","random","0","10","0.1","0.7","6","134","0","9","0","125","0"
"3","0.1","300","random","0","10","0.1","0.7","7","178","0","17","0","161","0"
"6","0.1","300","random","0","10","0.1","0.7","7","162","0","17","0","145","0"
"7","0.1","300","random","0","10","0.1","0.7","4","92","0","8","0","84","0"
"1","0.1","300","random","0","10","0.1","0.7","8","177","0","17","0","160","0"
"4","0.1","300","random","0","10","0.1","0.7","8","164","0","18","0","146","0"
"8","0.1","300","random","0","10","0.1","0.7","7","150","0","13","0","137","0"
"3","0.1","300","random","0","10","0.1","0.7","8","186","0","18","0","168","0"
"6","0.1","300","random","0","10","0.1","0.7","8","178","0","20","0","158","0"
"2","0.1","300","random","0","10","0.1","0.7","5","112","0","15","0","97","0"
"4","0.1","300","random","0","10","0.1","0.7","9","179","0","19","0","160","0"
"8","0.1","300","random","0","10","0.1","0.7","8","161","0","13","0","148","0"
"3","0.1","300","random","0","10","0.1","0.7","9","196","0","19","0","177","0"
"5","0.1","300","random","0","10","0.1","0.7","5","128","0","16","0","112","0"
"6","0.1","300","random","0","10","0.1","0.7","9","194","0","22","0","172","0"
"4","0.1","300","random","0","10","0.1","0.7","10","193","0","21","0","172","0"
"3","0.1","300","random","0","10","0.1","0.7","10","206","0","20","0","186","0"
"8","0.1","300","random","0","10","0.1","0.7","9","177","0","16","0","161","0"
"2","0.1","300","random","0","10","0.1","0.7","6","131","0","15","0","116","0"
"6","0.1","300","random","0","10","0.1","0.7","10","208","0","24","0","184","0"
"7","0.1","300","random","0","10","0.1","0.7","5","115","0","13","0","102","0"
"4","0.1","300","random","0","10","0.1","0.7","11","213","0","22","0","191","0"
"3","0.1","300","random","0","10","0.1","0.7","11","218","0","21","0","197","0"
"8","0.1","300","random","0","10","0.1","0.7","10","195","0","17","0","178","0"
"2","0.1","300","random","0","10","0.1","0.7","7","149","0","17","0","132","0"
"6","0.1","300","random","0","10","0.1","0.7","11","219","0","24","0","195","0"
"7","0.1","300","random","0","10","0.1","0.7","6","139","0","17","0","122","0"
"4","0.1","300","random","0","10","0.1","0.7","12","217","0","22","0","195","0"
"1","0.1","300","random","0","10","0.1","0.7","9","187","0","19","0","168","0"
"5","0.1","300","random","0","10","0.1","0.7","6","141","0","16","0","125","0"
"2","0.1","300","random","0","10","0.1","0.7","8","162","0","19","0","143","0"
"1","0.1","300","random","0","10","0.1","0.7","10","198","0","19","0","179","0"
"5","0.1","300","random","0","10","0.1","0.7","7","154","0","17","0","137","0"
"7","0.1","300","random","0","10","0.1","0.7","7","156","0","18","0","138","0"
"8","0.1","300","random","0","10","0.1","0.7","11","209","0","18","0","191","0"
"2","0.1","300","random","0","10","0.1","0.7","9","178","0","21","0","157","0"
"6","0.1","300","random","0","10","0.1","0.7","12","227","0","25","0","202","0"
"1","0.1","300","random","0","10","0.1","0.7","11","206","0","19","0","187","0"
"4","0.1","300","random","0","10","0.1","0.7","13","226","0","22","0","204","0"
"5","0.1","300","random","0","10","0.1","0.7","8","170","0","18","0","152","0"
"7","0.1","300","random","0","10","0.1","0.7","8","166","0","18","0","148","0"
